municipio,total,urbana,"urbana_na_sede_municipal","total_percentual","urbana_percentual","urbana_na_sede_municipal_percentual","area_total_km2","densidade_demografica_da_unidade_territorial_hab_km2"
Adamantina,33797,31948,31768,"100,00%","94,00%","94,00%","411,4","82,16"
Adolfo,3557,3200,3155,"100,00%","89,00%","88,00%","211,1","16,85"
Aguaí,32148,29001,27976,"100,00%","90,00%","87,00%","474,7","67,72"
Águas da Prata,7584,6771,4817,"100,00%","89,00%","63,00%",143,"53,05"
Águas de Lindóia,17266,17111,17111,"100,00%","99,00%","99,00%","60,1","287,16"
Águas de Santa Bárbara,5601,4259,3681,"100,00%","76,00%","65,00%",408,"13,73"
Águas de São Pedro,2707,2707,2707,"100,00%","100,00%","100,00%","5,4","504,1"
Agudos,34524,32993,32298,"100,00%","95,00%","93,00%","966,2","35,73"
Alambari,4884,3672,3036,"100,00%","75,00%","62,00%","159,3","30,66"
Alfredo Marcondes,3891,3255,3255,"100,00%","83,00%","83,00%","118,4","32,86"
Altair,3815,3022,2587,"100,00%","79,00%","67,00%","313,9","12,16"
Altinópolis,15607,13636,13636,"100,00%","87,00%","87,00%","929,8","16,78"
Alto Alegre,4102,3234,2429,"100,00%","78,00%","59,00%",319,"12,86"
Alumínio,16839,14123,12659,"100,00%","83,00%","75,00%","83,8","200,92"
Álvares Florence,3897,2648,2352,"100,00%","67,00%","60,00%","362,9","10,74"
Álvares Machado,23513,21183,20675,"100,00%","90,00%","87,00%","347,4","67,69"
Álvaro de Carvalho,4650,2952,2952,"100,00%","63,00%","63,00%","153,2","30,36"
Alvinlândia,3000,2693,2693,"100,00%","89,00%","89,00%","84,8","35,38"
Americana,210638,209654,209654,"100,00%","99,00%","99,00%","133,4","1579,59"
Américo Brasiliense,34478,34217,34217,"100,00%","99,00%","99,00%","122,3","281,99"
Américo de Campos,5706,4788,4788,"100,00%","83,00%","83,00%","253,1","22,54"
Amparo,65829,51811,45240,"100,00%","78,00%","68,00%","445,6","147,75"
Analândia,4293,3408,3408,"100,00%","79,00%","79,00%","326,3","13,16"
Andradina,55334,51649,51649,"100,00%","93,00%","93,00%","964,2","57,39"
Angatuba,22210,15953,14160,"100,00%","71,00%","63,00%",1028,"21,61"
Anhembi,5653,4271,3602,"100,00%","75,00%","63,00%","736,5","7,68"
Anhumas,3738,3059,3059,"100,00%","81,00%","81,00%","320,4","11,67"
Aparecida,35007,34498,34498,"100,00%","98,00%","98,00%","121,1","289,12"
Aparecida d'Oeste,4450,3645,3645,"100,00%","81,00%","81,00%",179,"24,86"
Apiaí,25191,18218,14410,"100,00%","72,00%","57,00%","974,3","25,85"
Araçariguama,17080,17080,17080,"100,00%","100,00%","100,00%","146,3","116,72"
Araçatuba,181579,178077,176070,"100,00%","98,00%","96,00%","1167,4","155,54"
Araçoiaba da Serra,27299,18764,18764,"100,00%","68,00%","68,00%","255,4","106,87"
Aramina,5152,4816,4563,"100,00%","93,00%","88,00%","202,9","25,39"
Arandu,6123,4614,4399,"100,00%","75,00%","71,00%","285,9","21,42"
