code_muni,municipio,area,densidade
3500105,Adamantina,411.987,84.19
3500204,Adolfo,211.055,20.62
3500303,Aguaí,474.554,67.58
3500402,Águas da Prata,142.673,51.65
3500501,Águas de Lindóia,60.126,298.21
3500550,Águas de Santa Bárbara,404.463,17.74
3500600,Águas de São Pedro,3.612,769.66
3500709,Agudos,966.708,38.98
3500758,Alambari,159.6,38.48
3500808,Alfredo Marcondes,118.915,37.38
3500907,Altair,313.007,11.03
3501004,Altinópolis,928.956,18.1
3501103,Alto Alegre,318.574,12.06
3501152,Alumínio,83.619,206.9
3501202,Álvares Florence,362.411,10.8
3501301,Álvares Machado,347.647,78.4
3501400,Álvaro de Carvalho,153.662,31.29
3501509,Alvinlândia,84.879,33.99
3501608,Americana,133.912,1771.61
3501707,Américo Brasiliense,122.958,268.54
3501806,Américo de Campos,252.876,23.21
3501905,Amparo,445.323,152.72
3502002,Analândia,325.953,14.08
3502101,Andradina,964.226,62
3502200,Angatuba,1027.288,23.38
3502309,Anhembi,736.557,7.7
3502408,Anhumas,320.84,12.54
3502507,Aparecida,120.89,269.41
3502606,Aparecida d'Oeste,179.004,22.83
3502705,Apiaí,974.322,25.23
3502754,Araçariguama,145.204,148.22
3502804,Araçatuba,1167.126,171.47
3502903,Araçoiaba da Serra,255.305,127.08
3503000,Aramina,202.829,26.72
3503109,Arandu,285.908,24.08
3503158,Arapeí,156.903,14.85
3503208,Araraquara,1003.625,241.35
3503307,Araras,644.831,202.95
3503356,Arco-Íris,264.904,7.72
3503406,Arealva,506.226,16.06
3503505,Areias,305.227,11.72
3503604,Areiópolis,85.907,117.92
3503703,Ariranha,132.624,57.32
3503802,Artur Nogueira,178.026,289.04
3503901,Arujá,96.167,901.33
3503950,Aspásia,69.373,26.55
3504008,Assis,460.609,220.16
3504107,Atibaia,478.521,331.54
3504206,Auriflama,434.498,31.51
3504305,Avaí,540.689,8.29
3504404,Avanhandava,338.37,33.29
3504503,Avaré,1213.055,76.51
3504602,Bady Bassitt,110.372,246.98
3504701,Balbinos,91.635,42.42
3504800,Bálsamo,149.881,64.02
3504909,Bananal,616.429,16.17
3505005,Barão de Antonina,153.142,23.06
3505104,Barbosa,205.212,27.48
3505203,Bariri,444.405,71.1
3505302,Barra Bonita,150.121,228.79
3505351,Barra do Chapéu,405.681,12.77
3505401,Barra do Turvo,1007.684,6.82
3505500,Barretos,1566.161,78.21
3505609,Barrinha,146.025,219.77
3505708,Barueri,65.701,4816.87
3505807,Bastos,170.912,125.81
3505906,Batatais,849.526,68.75
3506003,Bauru,667.684,567.85
3506102,Bebedouro,683.192,111.79
3506201,Bento de Abreu,301.687,8.64
3506300,Bernardino de Campos,244.158,47.54
3506359,Bertioga,491.546,130.58
3506409,Bilac,158.025,46.32
3506508,Birigui,530.031,224.48
3506607,Biritiba Mirim,317.406,93.52
3506706,Boa Esperança do Sul,690.748,18.79
3506805,Bocaina,363.926,30.94
3506904,Bofete,653.541,16.01
3507001,Boituva,248.954,245.35
3507100,Bom Jesus dos Perdões,108.366,203.07
3507159,Bom Sucesso de Itararé,133.578,26.61
3507209,Borá,118.951,7.62
3507308,Boracéia,122.11,38.61
3507407,Borborema,552.256,25.76
3507456,Borebi,347.989,7.8
3507506,Botucatu,1482.642,97.9
3507605,Bragança Paulista,512.584,344.94
3507704,Braúna,195.176,27.44
3507753,Brejo Alegre,105.689,24.27
3507803,Brodowski,278.458,90.5
3507902,Brotas,1101.373,21.7
3508009,Buri,1196.463,16.92
3508108,Buritama,326.921,52.64
3508207,Buritizal,266.42,16.35
3508306,Cabrália Paulista,239.974,17.91
3508405,Cabreúva,260.234,180.65
3508504,Caçapava,368.99,260.72
3508603,Cachoeira Paulista,287.99,109.6
3508702,Caconde,468.214,36.52
3508801,Cafelândia,920.28,18.1
3508900,Caiabu,253.352,14.65
3509007,Caieiras,97.642,973.27
3509106,Caiuá,551.159,9.92
3509205,Cajamar,131.386,705.47
3509254,Cajati,454.436,62.75
3509304,Cajobi,176.929,51.62
3509403,Cajuru,660.088,36.1
3509452,Campina do Monte Alegre,184.479,32.27
3509502,Campinas,794.571,1433.54
3509601,Campo Limpo Paulista,79.403,977.7
3509700,Campos do Jordão,289.981,161.99
3509809,Campos Novos Paulista,484.199,10.1
3509908,Cananéia,1237.354,9.93
3509957,Canas,53.261,92.58
3510005,Cândido Mota,595.811,49.43
3510104,Cândido Rodrigues,70.892,40.75
3510153,Canitar,57.459,109.35
3510203,Capão Bonito,1640.229,28.25
3510302,Capela do Alto,169.89,134.59
3510401,Capivari,322.878,155.07
3510500,Caraguatatuba,484.947,278.12
3510609,Carapicuíba,34.546,11201.99
3510708,Cardoso,639.248,17.75
3510807,Casa Branca,864.225,32.5
3510906,Cássia dos Coqueiros,191.683,14.6
3511003,Castilho,1065.318,18.75
3511102,Catanduva,290.596,398.46
3511201,Catiguá,148.393,47.19
3511300,Cedral,197.838,63.78
3511409,Cerqueira César,511.621,41.96
3511508,Cerquilho,127.803,349.72
3511607,Cesário Lange,190.392,100.05
3511706,Charqueada,175.846,88.34
3511904,Clementina,168.59,41.41
3512001,Colina,422.303,43.77
3512100,Colômbia,728.648,9.1
3512209,Conchal,182.793,153.73
3512308,Conchas,466.12,32.68
3512407,Cordeirópolis,137.579,178.18
3512506,Coroados,246.825,21.88
3512605,Coronel Macedo,303.83,14.09
3512704,Corumbataí,278.622,15.06
3512803,Cosmópolis,154.665,386.47
3512902,Cosmorama,441.68,19.74
3513009,Cotia,323.994,846.97
3513108,Cravinhos,311.423,106.87
3513207,Cristais Paulista,385.23,24.07
3513306,Cruzália,149.33,14.12
3513405,Cruzeiro,305.699,245.21
3513504,Cubatão,142.879,787.21
3513603,Cunha,1407.25,15.71
3513702,Descalvado,753.706,42.13
3513801,Diadema,30.732,12795.69
3513850,Dirce Reis,88.133,18.38
3513900,Divinolândia,223.749,49.87
3514007,Dobrada,149.729,58.5
3514106,Dois Córregos,632.972,38.72
3514205,Dolcinópolis,77.939,28.32
3514304,Dourado,205.874,39.33
3514403,Dracena,487.688,93.24
3514502,Duartina,264.557,46.6
3514601,Dumont,111.376,85.04
3514700,Echaporã,515.258,12.04
3514809,Eldorado,1654.256,7.9
3514908,Elias Fausto,202.36,87.46
3514924,Elisiário,93.98,33.39
3514957,Embaúba,83.129,27.94
3515004,Embu das Artes,70.398,3561.05
3515103,Embu-Guaçu,155.641,430.29
3515129,Emilianópolis,225.167,13.39
3515152,Engenheiro Coelho,109.941,177.97
3515186,Espírito Santo do Pinhal,389.235,102.29
3515194,Espírito Santo do Turvo,193.666,21.46
3515202,Estrela d'Oeste,296.281,31.78
3515301,Estrela do Norte,264.987,10.2
3515350,Euclides da Cunha Paulista,573.894,13.81
3515400,Fartura,429.171,38.77
3515509,Fernandópolis,549.797,129.48
3515608,Fernando Prestes,169.99,34.95
3515657,Fernão,100.504,16.48
3515707,Ferraz de Vasconcelos,29.547,6064.85
3515806,Flora Rica,224.711,6.62
3515905,Floreal,204.236,13.38
3516002,Flórida Paulista,524.138,24.72
3516101,Florínea,225.886,17.05
3516200,Franca,605.679,582.05
3516309,Francisco Morato,49.001,3370.11
3516408,Franco da Rocha,132.775,1090.94
3516507,Gabriel Monteiro,138.681,19.92
3516606,Gália,355.914,17.93
3516705,Garça,555.807,75.76
3516804,Gastão Vidigal,180.569,18.01
3516853,Gavião Peixoto,243.766,19.29
3516903,General Salgado,494.376,20.86
3517000,Getulina,676.755,15.12
3517109,Glicério,272.8,15.17
3517208,Guaiçara,277.154,40.55
3517307,Guaimbê,217.811,25.31
3517406,Guaíra,1258.465,31.21
3517505,Guapiaçu,325.126,66.78
3517604,Guapiara,408.292,41.81
3517703,Guará,362.183,51.37
3517802,Guaraçaí,569.197,13.07
3517901,Guaraci,641.501,16.13
3518008,Guarani d'Oeste,85.7,22.96
3518107,Guarantã,461.746,13.92
3518206,Guararapes,955.637,32.48
3518305,Guararema,270.816,115.34
3518404,Guaratinguetá,752.636,156.84
3518503,Guareí,567.884,26.44
3518602,Guariba,270.289,138.73
3518701,Guarujá,144.794,1986.5
3518800,Guarulhos,318.675,4053.57
3518859,Guatapará,413.567,17.7
3518909,Guzolândia,252.477,16.82
3519006,Herculândia,364.252,25.05
3519055,Holambra,65.577,230.17
3519071,Hortolândia,62.416,3791.35
3519105,Iacanga,547.393,19.07
3519204,Iacri,321.948,19.04
3519253,Iaras,401.381,19.96
3519303,Ibaté,290.978,110.59
3519402,Ibirá,271.912,42.99
3519501,Ibirarema,228.23,27.98
3519600,Ibitinga,689.391,87.08
3519709,Ibiúna,1058.082,71.45
3519808,Icém,362.355,21.58
3519907,Iepê,594.974,12.81
3520004,Igaraçu do Tietê,97.747,236.39
